   iter.      cost_function
       0  1.000000000000000
       1  0.238323307849202
       2  0.082867617224932
       3  0.049057492673754
       4  0.039473529776497
       5  0.023298912877311
       6  0.019532031903764
       7  0.010623467234587
       8  0.009448674600326
       9  0.008861834522348
      10  0.007398282139365
      11  0.007226931567658
      12  0.005917859363128
      13  0.004887640720671
      14  0.004420980492461
      15  0.004357957304474
      16  0.004293247760792
      17  0.004250093775207
      18  0.004148157215441
      19  0.004127389120014
      20  0.004101651168907
      21  0.004083623766460
      22  0.004061236683319
      23  0.004025984901634
      24  0.004016920040597
      25  0.003912071686837
      26  0.003901424800216
      27  0.003897924354682
      28  0.003892969369913
      29  0.003890690779652
      30  0.003887719602656
      31  0.003885783760400
      32  0.003873644786300
      33  0.003870771908517
      34  0.003863438307244
      35  0.003861894186948
      36  0.003823230207637
      37  0.003821967786210
      38  0.003820188714805
      39  0.003818662150266
      40  0.003812337177679
      41  0.003811599371000
      42  0.003784414678399
      43  0.003777966364628
      44  0.003773002389070
      45  0.003771893742092
      46  0.003767260717762
      47  0.003766517178020
      48  0.003765462172574
      49  0.003764532632585
      50  0.003764214903113
      51  0.003764041410364
      52  0.003763525041593
      53  0.003763348235614
      54  0.003763177584603
      55  0.003763063348302
      56  0.003762835139184
      57  0.003762718469006
      58  0.003762264273581
      59  0.003762180112851
      60  0.003760200663514
      61  0.003760154947695
      62  0.003760080363766
      63  0.003760053217806
      64  0.003759713635527
      65  0.003759694620776
      66  0.003759631067811
      67  0.003759611782708
      68  0.003758937235086
      69  0.003758934856030
      Mw data_misfit cost_function mdl_roughness
  8.8721    0.047282  0.375893E-02  0.169976E-07
